n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.9976023976023977,0.3850152955048057,0.555601427385189,0.9980019980019864,0.3956043956043974,0.5152998940623099,969,370
2001,0.9936856968341228,0.3385815171008251,0.5050692642383314,0.9950024987506151,0.35382308845576943,0.4591889198536866,1864,588
3001,0.9941905452617571,0.3160333685443972,0.47960868929850586,0.995668110629806,0.3332222592469217,0.436682641629438,2786,813
4001,0.9910603581597598,0.32475599236609165,0.48920624824314146,0.9930017495625724,0.344413896525869,0.44936533565551146,3672,1099
5001,0.988309789022588,0.32297819277760464,0.48685340519130854,0.9906018796240098,0.34513097380523705,0.45411907923311207,4515,1343
6001,0.9871861225743426,0.32039620072569247,0.48377938038150087,0.9898350274954623,0.34277620396601316,0.4522550262130896,5398,1588
7001,0.9863136265314113,0.3113417868786327,0.4732853479184771,0.9891444079418228,0.33580917011855643,0.4451322622566443,6259,1766
8001,0.9844461844230261,0.3134044734485738,0.475447365528985,0.9878765154355359,0.3425821772278571,0.45431036011979,7020,1982
