n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.6489429933881238,0.6922978125784958,0.6699196934840654,0.6943056943056947,0.7422577422577425,0.6361488400916395,381,370
2001,0.6062458503462789,0.6503556124783065,0.6275265515418624,0.6716641679160384,0.7136431784107902,0.5931250568911106,587,588
3001,0.5750302109789445,0.6193985702974043,0.596390335098208,0.6444518493835433,0.685771409530163,0.55848530404523,819,813
4001,0.5184189671273981,0.6400513888409427,0.572849841520582,0.5861034741314646,0.7053236690827253,0.5166437350492925,989,1099
5001,0.4860086895839788,0.6379295662027066,0.5517016809789886,0.557688462307533,0.7038592281543611,0.4917793189579375,1161,1343
6001,0.46786758456212507,0.6435962018374386,0.5418400564582866,0.5407432094650961,0.7105482419596847,0.48130512309455686,1322,1588
7001,0.47002918676973754,0.6352115779271037,0.5402768173895454,0.5439222968147428,0.7033280959862959,0.48348417010470685,1521,1766
8001,0.4708622238330784,0.6329851189771986,0.5400181152151875,0.5474315710536308,0.7015373078365358,0.48562325759499125,1713,1982
9001,0.47056447666377427,0.6342849513042532,0.5402943760673798,0.5499388956782665,0.702810798800143,0.4875968765470614,1948,2252
10001,0.4710285034296769,0.6316697438297734,0.5396480040435571,0.5505449455054559,0.7001299870013122,0.4892241052230133,2161,2478
11001,0.47206925018099805,0.6337077079452258,0.5410746178515928,0.5513135169530192,0.7015725843105386,0.48797911950306433,2430,2775
12001,0.4702292416040473,0.628726251440873,0.5380481198059085,0.5492875593700594,0.6974418798433504,0.4880325607952454,2632,2959
13001,0.4693815334439819,0.6235316035741766,0.5355855105465154,0.5504961156834021,0.6937158680101377,0.48687431192880826,2807,3105
14001,0.4722237740250218,0.6288398513180998,0.5393932212668054,0.5528176558817155,0.6980929933576129,0.48971561166211747,3103,3454
15001,0.47738475355407156,0.6283259484620827,0.5425528169552208,0.5564295713619091,0.6966868875408304,0.4933924686001951,3420,3744
15293,0.4795561382805998,0.6296590504988685,0.5444513665971823,0.5583600340024781,0.6975740534885041,0.4954465989377744,3503,3825
