n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.7359399046212236,0.6712417065970718,0.7021034862772996,0.7732267732267722,0.7212787212787214,0.6740806004669398,451,370
2001,0.7147147156322605,0.6333321922146194,0.6715668943336845,0.7641179410294808,0.6976511744127892,0.6461791517037635,736,588
3001,0.6924694343233452,0.5987530292871792,0.6422102823870092,0.7490836387870776,0.6681106297900762,0.6197537409348681,1051,813
4001,0.6401802440462095,0.613616431418279,0.6266169379825319,0.7000749812546792,0.682079480129964,0.5886367097918963,1302,1099
5001,0.617989726796716,0.6074610491676403,0.6126801584818217,0.679864027194548,0.6750649870025921,0.5739360176655333,1577,1343
6001,0.6092138228977217,0.6124425402767093,0.6108239149962872,0.6728878520246753,0.6815530744875962,0.5722248422139738,1832,1588
7001,0.6182149928879087,0.6041082673125989,0.6110802278587452,0.6826167690330069,0.6741894015140781,0.5754764218745688,2129,1766
8001,0.6189119332481577,0.6016300714759268,0.6101486539524182,0.6841644794400829,0.6727909011373715,0.5785412215495173,2396,1982
9001,0.6197680375610284,0.6029306978220811,0.6112334372496231,0.6851460948783646,0.6738140206643796,0.5808369939644417,2712,2252
10001,0.6182961579638988,0.6004679910407791,0.6092516786681252,0.6836316368363343,0.6712328767123396,0.5801397346453067,3005,2478
11001,0.6162102406068167,0.6012028498090466,0.6086140450613791,0.6816653031542846,0.6713026088537618,0.5767186210559822,3356,2775
12001,0.6177594701279011,0.5965715368755103,0.6069806574782909,0.6824431297391857,0.667694358803437,0.5782656120737018,3644,2959
13001,0.6139998781611421,0.5904074821520596,0.6019726116793604,0.6817937081762693,0.6627182524421048,0.5740033106752755,3898,3105
14001,0.6150435277478502,0.5956565923549371,0.6051948385982492,0.6824512534818982,0.6668809370759181,0.5758264789388728,4284,3454
15001,0.6180194291165207,0.5958757100324846,0.6067455981360074,0.6842210519298711,0.6660889274048395,0.5773612948907322,4679,3744
15293,0.6199434526570785,0.5973764511796833,0.608450775368291,0.6858693519910675,0.6671679853527573,0.5790702259363354,4786,3825
