n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.4908345710603248,0.7181935031448099,0.5831365004260175,0.5604395604395616,0.7652347652347659,0.5279314182675311,273,370
2001,0.4629495159034248,0.6691397147915532,0.5472676510566854,0.5402298850574692,0.7291354322838536,0.5007400905816397,424,588
3001,0.433028462074158,0.6440276487535528,0.5178603035986077,0.5178273908697126,0.7047650783072373,0.4647867139091224,571,813
4001,0.3797870031447163,0.6660963288503188,0.48375324627692007,0.4581354661334663,0.7255686078480332,0.4173265084266723,681,1099
5001,0.34172148189522733,0.6694441855261654,0.4524747358314134,0.41971605678864055,0.7294541091781555,0.38265217297300685,767,1343
6001,0.3171190271328801,0.6813765746401731,0.432806065599752,0.3956007332111347,0.7418763539410219,0.36402627785519914,847,1588
7001,0.3108186745153755,0.6742564513954717,0.42549342886391833,0.3882302528210267,0.7364662191115628,0.36146548621602287,961,1766
8001,0.3091171930075011,0.6718702160232174,0.4234236511713208,0.38882639670041785,0.7347831521060036,0.3624388853364712,1068,1982
9001,0.31178463762204106,0.672430016514578,0.4260317566783125,0.3942895233862927,0.7354738362404282,0.3659413348225382,1226,2252
10001,0.3091927847145009,0.670495443620538,0.4232210765740078,0.392260773922608,0.7340265973402802,0.36609427924706855,1340,2478
11001,0.3106601138181638,0.6737532867683449,0.42524466373194664,0.3926006726661279,0.7368421052631798,0.3662871485886527,1509,2775
12001,0.3058708135598872,0.6667643941256206,0.41936332567947116,0.38821764852929325,0.7309390884093053,0.36280197171145956,1611,2959
13001,0.3025660622384179,0.6650117855053772,0.4159045140433595,0.387508653180522,0.7301746019536818,0.3601294751673694,1707,3105
14001,0.30428632781888376,0.669813908981365,0.41846866880034733,0.3891150632097658,0.7342332690522029,0.36293614736291224,1874,3454
15001,0.30693141230379745,0.6696140331373501,0.420923740618019,0.39050729951336566,0.7332844477034862,0.36561466894243644,2052,3744
15293,0.3094141535122464,0.6706947622238558,0.4234681447882428,0.392663310011121,0.7339305564637194,0.36814182716866894,2103,3825
