after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,0.9443393374741192,0.6365006804385612,0.7604471345061533,0.9540000000000007,0.6930000000000005,0.7679589815349541,607,370,39.49129509925842
2000,2000,0.9219792064215983,0.5528151883435917,0.6911934442603853,0.9379999999999772,0.6174999999999965,0.6881095316664191,1104,588,41.42969584465027
3000,3000,0.918244135478049,0.5298258663115145,0.6719419557947939,0.9356666666666541,0.6010000000000005,0.6747038066884883,1613,813,46.262718200683594
4000,4000,0.909823243736939,0.5456906746724208,0.6822086047106094,0.9297499999999596,0.613999999999987,0.6803732240723239,2135,1099,57.84595608711243
5000,5000,0.899103701438658,0.5509596004858136,0.6832388840990905,0.9211999999999685,0.6171999999999933,0.6777881778818237,2624,1343,63.11733102798462
6000,6000,0.8915964550182174,0.5562384846056851,0.6850784539679119,0.9148333333332971,0.6218333333333248,0.678489043466083,3064,1588,65.56920504570007
7000,7000,0.8886495130121244,0.5555244762845214,0.6836663157975656,0.9114285714285655,0.6205714285714332,0.6737866405331087,3459,1766,69.31094193458557
8000,8000,0.8853539260184419,0.5601962319330169,0.6862050833095876,0.9090000000000169,0.6251249999999884,0.6750773127921939,3869,1982,78.61631393432617
9000,9000,0.86618876534754,0.5690103699400354,0.6868320607084929,0.8925555555555119,0.6325555555555582,0.6670952058900226,4234,2252,100.68313002586365
10000,10000,0.8481063732586397,0.5753316251393882,0.6855829598017028,0.8792999999999545,0.6388999999999808,0.6588323141267864,4590,2478,118.40413403511047
11000,11000,0.8357357614956874,0.5801862532341351,0.6848998675233988,0.8677272727273311,0.6430000000000021,0.6530480169135209,5020,2774,136.85119104385376
12000,12000,0.8278261786515859,0.5769272213689554,0.6799705300858587,0.8604999999999523,0.6400833333333095,0.6484704866760206,5382,2959,103.12996697425842
13000,13000,0.8216048330013569,0.5802369459367372,0.6801416339990859,0.8559230769231237,0.6442307692307919,0.6497071557123206,5667,3105,92.0860710144043
14000,14000,0.8198974014832316,0.580447992885151,0.6797005981190062,0.8537857142857634,0.644428571428581,0.6488720965158195,6212,3453,134.81824207305908
15000,15000,0.8128339314629601,0.5864081728756382,0.6813009115757318,0.8463333333332895,0.6496666666666459,0.6472322473532189,6622,3744,129.87739610671997
15291,15291,0.811764385606291,0.5890610907484702,0.6827100484498957,0.8450722647308706,0.6517559348636193,0.6474822465036578,6739,3825,37.89120888710022
15292,15292,0.8117106281657862,0.5890225698819551,0.6826651654563153,0.8450170023542488,0.651713314151214,0.6474399061241991,6739,3825,0.09952092170715332
15293,15293,0.8117229402936771,0.5890494434469926,0.6826875683204041,0.8450271365983462,0.6517360884064446,0.6474629598150313,6739,3825,0.12653017044067383
