n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.8854411766499675,0.7036367824013754,0.7841389744221365,0.9050949050949033,0.7542457542457545,0.7843278712181939,509,370
2001,0.8440964993247674,0.6348993916714931,0.724702965296726,0.8730634682658611,0.7011494252873519,0.7195115714117081,875,588
3001,0.8324744161139234,0.61424998393256,0.7069036738522072,0.8637120959680196,0.6844385204931752,0.7062384775037818,1245,813
4001,0.8154255434732115,0.6177872966988422,0.7029793873476943,0.8510372406898152,0.6848287928017964,0.6951996349337187,1669,1099
5001,0.8020632921650437,0.6178254083207746,0.6979914423030824,0.8412317536492504,0.6824635072985332,0.6829727571861564,2064,1343
6001,0.7822835900501556,0.6290349944872539,0.6973390121068377,0.8245292451258295,0.6927178803532859,0.6741695451048481,2364,1588
