after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,0.9538983164983164,0.7967190476190479,0.8682525077421781,0.9580000000000007,0.8030000000000006,0.8207288451012584,922,763,31.93028497695923
2000,1000,0.9812857142857143,0.7505000000000015,0.8505150752732531,0.9820000000000008,0.7510000000000006,0.7966863711451941,977,745,28.681061029434204
3000,1000,0.9949999999999999,0.7790000000000008,0.8738500563697863,0.9960000000000008,0.7790000000000006,0.8303047619047619,994,777,23.902328968048096
4000,1000,0.9964,0.7560000000000016,0.8597105683633884,0.9970000000000008,0.7560000000000006,0.8149405261405259,995,754,22.661033868789673
5000,1000,0.998,0.7550000000000001,0.8596577296063891,0.9980000000000008,0.7550000000000006,0.816800793650793,997,754,23.247847080230713
