n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.6609026423022952,0.8154840252889266,0.7301008047547446,0.7232767232767233,0.8491508491508496,0.6978703672808318,320,370
2001,0.6348203209586114,0.7799133500665338,0.6999265704199713,0.7061469265367283,0.8265867066466713,0.664376810716698,521,588
3001,0.6162072073164546,0.7765587417087589,0.6871522008137084,0.6934355214928405,0.8233922025991405,0.651987704285725,725,813
4001,0.5896252334382572,0.7772917988516587,0.6705759713590967,0.6718320419894999,0.8235441139715011,0.6266197125881319,956,1099
5001,0.5731388601112614,0.7670065712318357,0.6560500997165537,0.6572685462907367,0.8132373525294858,0.6058945125098452,1178,1343
6001,0.5507582071598833,0.768617159665956,0.641700943482634,0.6355607398766945,0.8148641893017959,0.5865210017107055,1325,1588
