after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,1.0,0.3910554980966742,0.5622428416863883,1.0000000000000007,0.4010000000000003,0.5177204633687614,968,370,40.445889949798584
2000,2000,1.0,0.30920829024626983,0.4723591999071529,0.9999999999999475,0.32000000000000023,0.42819920157737407,1943,588,45.08859205245972
3000,3000,0.9993333333333333,0.28785557975769066,0.44696419167729423,0.9993333333332921,0.29766666666666663,0.40158532391922125,2903,813,51.18797516822815
4000,4000,0.9995,0.2948516265324704,0.4553696146830023,0.9994999999999206,0.3054999999999952,0.41234249225239816,3858,1099,63.92488503456116
5000,5000,0.9967799999999998,0.2977307127353999,0.45850840309121893,0.9973999999999277,0.31299999999999945,0.4235420396000479,4728,1343,73.04997897148132
6000,6000,0.9947333333333332,0.3015996027153002,0.4628613063793117,0.9954999999999276,0.31966666666666615,0.4315692677380151,5592,1588,76.7596709728241
7000,7000,0.9928428571428571,0.296832218535303,0.4570263526069536,0.9938571428570847,0.3177142857142888,0.4292985289157632,6434,1766,81.2593891620636
8000,8000,0.9917916666666665,0.29668653232022035,0.45674227254879585,0.9930000000001027,0.3194999999999849,0.43193085225387945,7272,1982,89.1418080329895
9000,9000,0.9859338513338516,0.30386983613668844,0.464559933820587,0.9881111111109483,0.32877777777778916,0.4393762750433668,8053,2252,122.37712693214417
10000,10000,0.9821549331370388,0.30126577020974105,0.4610953549763291,0.9846999999999141,0.32749999999998775,0.4388447420777531,8871,2478,139.05855202674866
11000,11000,0.979261662579845,0.3059959019632817,0.4662879472033292,0.9821818181820242,0.33318181818180764,0.4440013576005967,9721,2774,168.2648470401764
12000,12000,0.9795236180486188,0.29964992541934243,0.4589122102994848,0.9824166666665799,0.3277499999999874,0.4404811874927874,10584,2959,125.83107995986938
13000,13000,0.980150006403853,0.2932824064254955,0.4514739057056013,0.9829230769231638,0.32300000000001183,0.4362083874822586,11406,3105,104.36787700653076
14000,14000,0.9789491556062991,0.30006198827541486,0.4593320886325771,0.9818571428573333,0.32928571428571773,0.44155091911996847,12291,3453,150.75917100906372
15000,15000,0.9756333196433205,0.30658599403940456,0.46655904793963393,0.9788666666665842,0.3356666666666564,0.4472546610421314,13099,3744,139.7370171546936
15291,15291,0.9749227287583189,0.3092580239184906,0.46956423531586705,0.9782224838140805,0.33856516905367345,0.4500864865404629,13309,3825,38.95611906051636
15292,15292,0.9749243686531163,0.3092378004013628,0.46954111339684995,0.9782239079259212,0.3385430290347967,0.45011154845824547,13310,3825,0.13896417617797852
15293,15293,0.9749260083334502,0.30921757952904205,0.4695179937293139,0.9782253318508515,0.3385208919113381,0.4501039124015536,13311,3825,0.1481609344482422
