after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,0.998,0.4198573803703616,0.5910575653246144,0.9980000000000008,0.44200000000000034,0.5584421893235989,923,370,37.97933006286621
2000,2000,0.9963333333333334,0.34877420638395823,0.5166804249721951,0.9964999999999522,0.3765000000000003,0.4859702575979772,1820,588,39.42898893356323
3000,3000,0.9956,0.32866676993481136,0.49419141758454915,0.9959999999999631,0.35566666666666824,0.4616145173943047,2716,813,43.923624992370605
4000,4000,0.9944055555555555,0.34217975224825026,0.509156347369083,0.9952499999999272,0.3712499999999915,0.47845117185647756,3567,1099,59.14707088470459
5000,5000,0.9910355555555552,0.3424197028707488,0.5089786077534681,0.992599999999935,0.3739999999999959,0.4836153813667408,4383,1343,69.73122692108154
6000,6000,0.9897796296296295,0.34420212996794136,0.510777983681238,0.9916666666665996,0.3764999999999963,0.48671409646375385,5203,1588,70.7112250328064
7000,7000,0.9884801587301586,0.33828588352781747,0.5040660873060397,0.9904285714285246,0.3720000000000071,0.4811740883899567,6006,1766,80.87644791603088
8000,8000,0.9873133169934643,0.3392943732159281,0.5050322797452824,0.9897500000000858,0.3749999999999832,0.484980501970935,6765,1982,82.00957584381104
9000,9000,0.9840198412698418,0.34563983011194466,0.5115842167489982,0.98699999999986,0.3825555555555681,0.4911186182546409,7521,2252,115.21604800224304
10000,10000,0.982555476190477,0.3424403266267853,0.5078757494630457,0.9858999999999187,0.3807999999999863,0.4907088587304441,8295,2478,116.69898414611816
11000,11000,0.9811524142524152,0.3471344771686553,0.5128287157601821,0.9846363636365442,0.3859090909090792,0.49557159679890544,9100,2774,143.76934695243835
12000,12000,0.9819313797313802,0.34020640474885006,0.5053321194353717,0.9852499999999165,0.38024999999998504,0.4924870566291502,9911,2959,118.13180017471313
13000,13000,0.9826622992392224,0.3336259754286826,0.49813049984569824,0.9858461538462373,0.37546153846155256,0.4886330511600954,10667,3105,121.19128394126892
14000,14000,0.9826258765044482,0.339977223680514,0.5051710787066734,0.985928571428741,0.38085714285714306,0.4935445770246905,11531,3453,136.54107308387756
15000,15000,0.9817538339438342,0.3445678526109511,0.5101037158388076,0.9850666666665872,0.3851999999999883,0.49821846031811695,12344,3744,127.9114248752594
15291,15291,0.9815800694847197,0.3471393574792148,0.5128924402255729,0.9849584723040257,0.38774442482503646,0.5008538753977662,12554,3825,33.51969504356384
15292,15292,0.9815812740315752,0.34711665676266507,0.5128678268942702,0.9849594559248603,0.38771906879415263,0.5008647185046983,12555,3825,0.13870596885681152
15293,15293,0.9815824784209016,0.3470939590148875,0.5128432159033017,0.9849604394164327,0.3876937160792587,0.5008537637289823,12556,3825,0.12097406387329102
