crash_id,length
launchpad:0001157538,2
launchpad:0000860663,2
launchpad:0000638124,2
launchpad:0000981764,2
launchpad:0000981764,2
launchpad:0000981764,2
launchpad:0000334833,2
launchpad:0000334834,2
launchpad:0001431798,2
launchpad:0000950062,2
launchpad:0000950062,2
launchpad:0000950062,2
launchpad:0000950062,2
launchpad:0000208363,2
launchpad:0000901675,2
launchpad:0000139909,2
launchpad:0000948254,2
launchpad:0001120651,2
launchpad:0000814826,2
launchpad:0000613537,2
launchpad:0000380010,2
launchpad:0000357450,2
launchpad:0000754059,2
launchpad:0000754059,2
launchpad:0000817672,2
launchpad:0001300612,2
launchpad:0001300612,2
launchpad:0000633121,2
launchpad:0000928815,2
launchpad:0000837733,2
launchpad:0000817035,2
launchpad:0000817035,2
launchpad:0000817035,2
launchpad:0000817035,2
launchpad:0000817035,2
launchpad:0000817035,2
launchpad:0000817035,2
launchpad:0000177558,2
launchpad:0000828436,2
launchpad:0000354438,2
launchpad:0000354438,2
launchpad:0000819034,2
launchpad:0000819034,2
launchpad:0000876621,2
launchpad:0000980408,2
launchpad:0000980408,2
launchpad:0000971126,2
launchpad:0000870660,2
launchpad:0001087280,2
launchpad:0001087280,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
launchpad:0000351141,2
