depth,count
800,8
801,7
802,21
803,8
804,6
805,14
806,8
807,9
808,10
809,9
810,6
811,12
812,3
813,8
814,16
815,5
816,7
817,10
818,15
819,10
820,10
821,7
822,10
823,5
824,3
825,12
826,13
827,3
828,12
829,19
830,11
831,2
832,6
833,14
834,6
835,9
836,7
837,13
838,16
839,6
840,9
841,8
842,9
843,1
844,11
845,7
846,12
847,18
848,6
849,10
850,11
851,10
852,2
853,8
854,7
855,7
856,14
857,9
858,16
859,6
860,5
861,13
862,13
863,5
864,5
865,17
866,7
867,2
868,11
869,11
870,13
871,4
872,9
873,14
874,17
875,7
876,1
877,11
878,8
879,7
880,8
881,9
882,11
883,11
884,12
885,8
886,11
887,2
888,9
889,12
890,8
891,10
892,14
893,10
894,7
895,11
896,6
897,5
898,13
899,4
900,7
901,17
902,12
903,9
904,6
905,11
906,12
907,7
908,2
909,10
910,18
911,1
912,8
913,11
914,12
915,6
916,9
917,16
918,11
919,11
920,2
921,11
922,6
923,5
924,8
925,10
926,12
927,7
928,22
929,9
930,7
931,7
932,5
933,7
934,11
935,10
936,5
937,15
938,12
939,7
940,10
941,5
942,9
943,6
944,3
945,16
946,20
947,6
948,6
949,13
950,11
951,4
952,6
953,5
954,14
955,9
956,8
957,12
958,15
959,8
960,4
961,14
962,8
963,7
964,9
965,10
966,7
967,5
968,12
969,9
970,13
971,5
972,11
973,19
974,5
975,4
976,8
977,9
978,9
979,8
980,6
981,10
982,20
983,8
984,7
985,8
986,7
987,9
988,7
989,12
990,13
991,14
992,2
993,9
994,16
995,4
996,5
997,6
998,14
999,4
1000,15
1001,15
1002,8
1003,7
1004,5
1005,15
1006,8
1007,2
1008,8
1009,16
1010,9
1011,5
1012,14
1013,9
1014,9
1015,11
1016,7
1017,11
1018,16
1019,6
1020,5
1021,7
1022,10
1023,6
1024,11
1025,9
1026,14
1027,16
1028,7
1029,11
1030,7
1031,6
1032,2
1033,12
1034,9
1035,9
1036,14
1037,8
1038,17
1039,5
1040,5
1041,6
1042,12
1043,8
1044,6
1045,20
1046,9
1047,6
1048,8
1049,13
1050,10
1051,4
1052,5
1053,10
1054,17
1055,6
1056,9
1057,15
1058,9
1059,7
1060,11
1061,10
1062,6
1063,9
1064,6
1065,6
1066,14
1067,7
1068,10
1069,10
1070,11
1071,14
1072,12
1073,7
1074,7
1075,10
1077,9
1078,16
1079,4
1080,9
1081,16
1082,16
1083,5
1084,6
1085,11
1086,8
1087,5
1088,7
1089,16
1090,15
1091,5
1092,6
1093,12
1094,12
1095,2
1096,8
1097,9
1098,11
1099,17
1100,6
1101,11
1102,10
1103,7
1104,6
1105,11
1106,7
1107,4
1108,19
1109,6
1110,12
1111,8
1112,7
1113,13
1114,10
1115,11
1116,6
1117,15
1118,7
1119,5
1120,6
1121,8
1122,14
1123,6
1124,7
1125,12
1126,21
1127,8
1128,3
1129,9
1130,9
1131,6
1132,7
1133,11
1134,12
1135,11
1136,9
1137,11
1138,15
1139,3
1140,3
1141,14
1142,5
1143,9
1144,17
1145,12
1146,6
1147,7
1148,11
1149,9
1150,11
1151,1
1152,10
1153,13
1154,10
1155,13
1156,7
1157,9
1158,11
1159,11
1160,2
1161,8
1162,15
1163,6
1164,5
1165,10
1166,14
1167,6
1168,11
1169,14
1170,13
1171,13
1172,2
1173,8
1174,10
1175,4
1176,6
1177,11
1178,14
1179,6
1180,18
1181,12
1182,9
1183,7
1184,1
1185,11
1186,8
1187,8
1188,9
1189,17
1190,9
1191,4
1192,14
1193,7
1194,10
1195,5
1196,6
1197,12
1198,19
1199,8
1200,5
1201,11
1202,7
1203,9
1204,8
1205,8
1206,13
1207,11
1208,7
1209,10
1210,14
1211,11
1212,3
1213,11
1214,12
1215,9
1216,9
1217,6
1218,12
1219,3
1220,8
1221,10
1222,14
1223,4
1224,8
1225,25
1226,7
1227,4
1228,7
1229,13
1230,4
1231,6
1232,8
1233,10
1234,19
1235,6
1236,12
1237,10
1238,9
1239,6
1240,7
1241,7
1242,13
1243,17
1244,3
1245,9
1246,12
1247,7
1248,9
1249,7
1250,9
1251,8
1252,12
1253,13
1254,10
1255,8
1256,5
1257,11
1258,14
1259,5
1260,6
1261,12
1262,12
1263,1
1264,11
1265,12
1266,10
1267,11
1268,7
1269,16
1270,16
1271,4
1273,11
1274,7
1275,6
1276,13
1277,8
1278,15
1279,13
1280,9
1281,12
1282,7
1283,4
1284,5
1285,10
1286,7
1287,10
1288,17
1289,8
1290,12
1291,10
1292,7
1293,6
1294,9
1295,10
1296,3
1297,17
1298,14
1299,9
1300,5
1301,9
1302,13
1303,4
1304,6
1305,8
1306,20
1307,3
1308,8
1309,17
1310,8
1311,5
1312,8
1313,14
1314,8
1315,11
1316,4
1317,8
1318,14
1319,4
1320,10
1321,10
1322,10
1323,12
1324,16
1325,10
1326,6
1327,5
1328,5
1329,8
1330,13
1331,7
1332,10
1333,14
1334,12
1335,10
1336,8
1337,10
1338,7
1339,8
1340,2
1341,13
1342,17
1343,5
1344,5
1345,10
1346,15
1347,4
1348,10
1349,8
1350,12
1351,13
1352,4
1353,14
1354,11
1355,8
1356,3
1357,13
1358,11
1359,3
1360,15
1361,9
1362,9
1363,7
1364,8
1365,14
1366,10
1367,6
1368,12
1369,18
1370,4
1371,3
1372,9
1373,5
1374,12
1375,8
1376,8
1377,10
1378,20
1379,13
1380,4
1381,8
1382,6
1383,7
1384,4
1385,10
1386,14
1387,12
1388,9
1389,9
1390,18
1391,5
1392,4
1393,11
1394,8
1395,7
1396,14
1397,14
1398,9
1399,5
1400,6
1401,11
1402,13
1403,2
1404,7
1405,17
1406,7
1407,9
1408,11
1409,11
1410,8
1411,10
1412,6
1413,10
1414,15
1415,3
1416,8
1417,6
1418,14
1419,8
1420,9
1421,12
1422,11
1423,17
1424,4
1425,9
1426,6
