after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,0.9012951515151522,0.7174850604113797,0.7989544244103738,0.9160000000000007,0.7690000000000006,0.804141454095074,494,370,41.61311197280884
2000,2000,0.8770319136419138,0.6291452958472655,0.7326900172163299,0.9019999999999848,0.688999999999995,0.7215489539837577,878,588,45.73396396636963
3000,3000,0.8614606536673186,0.5954652149625436,0.7041811314671703,0.8876666666666609,0.6629999999999995,0.69741612738925,1260,813,51.91244912147522
4000,4000,0.841792721053311,0.6068144981531102,0.7052457295563389,0.8712499999999723,0.672249999999986,0.6925231765218386,1665,1099,70.10725498199463
5000,5000,0.8339965761100475,0.6087751252732574,0.7038069427229161,0.8655999999999806,0.6733999999999939,0.6920869404328133,2056,1343,78.19251298904419
6000,6000,0.8237542976352855,0.6121001852636072,0.702327658129067,0.8571666666666414,0.6771666666666559,0.6912314431021513,2394,1588,83.36854004859924
7000,7000,0.8264353360229564,0.6091499935760198,0.7013488773530564,0.8594285714285751,0.6728571428571486,0.6885518900280357,2710,1766,89.46057915687561
8000,8000,0.8202501469905915,0.616040383941359,0.7036281373409414,0.8548749999999986,0.6798749999999871,0.6882547635997524,3026,1982,98.96824502944946
9000,9000,0.805857209356769,0.6205320006904363,0.7011553128285631,0.8424444444444262,0.684000000000002,0.6827690918047197,3339,2252,131.44460678100586
10000,10000,0.7932498200574872,0.6193017442611362,0.6955654003801344,0.8309999999999652,0.681799999999979,0.673947525811843,3626,2478,147.39595198631287
11000,11000,0.7808708237537395,0.6237395531977452,0.6935161902625412,0.8206363636363921,0.6863636363636395,0.6687719733822036,3971,2774,181.39709210395813
12000,12000,0.7740727040819789,0.6181649392987688,0.6873892663464055,0.8149999999999606,0.6807499999999745,0.6638978297902398,4245,2959,126.6928539276123
13000,13000,0.7685329260682824,0.617305780970548,0.6846681590267756,0.8113846153846527,0.6809230769231004,0.6634127744851787,4463,3105,106.99668312072754
14000,14000,0.7656294769621893,0.6169942852739096,0.6833225709341706,0.8086428571428835,0.6805000000000087,0.6622856631719203,4910,3453,153.58539199829102
15000,15000,0.7598259978217184,0.6229717145277383,0.6846266816590187,0.8029999999999657,0.6858666666666452,0.6618875977283827,5244,3744,142.04592514038086
15291,15291,0.7590347869682523,0.6249167532265077,0.6854771151761895,0.8021058138774156,0.6874632136550625,0.6623687080726766,5345,3825,41.00334405899048
15292,15292,0.7590505445678489,0.6248758876266368,0.6854589546905346,0.8021187549045764,0.6874182579126572,0.6624107684210673,5346,3825,0.1015620231628418
15293,15293,0.7590663001066857,0.6249004167649598,0.6854801369228248,0.802131694239137,0.6874386974432573,0.6624328431762876,5346,3825,0.15983200073242188
