after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,0.47102507536979166,0.7841166421813482,0.5885209539569448,0.5170000000000003,0.8280000000000006,0.4896648645480844,277,370,59.485100984573364
2000,2000,0.658449498663107,0.5752096526406238,0.6140213153805725,0.6884999999999879,0.6329999999999957,0.4846189683052059,953,588,50.50458812713623
3000,3000,0.7414309215666193,0.48286053847061483,0.5848406947403423,0.7656666666666558,0.5366666666666686,0.46851990568888324,1746,813,46.07697892189026
4000,4000,0.7601276654409416,0.4764608607237596,0.5857584379489794,0.7829999999999571,0.5262499999999882,0.4756572625923932,2417,1099,53.70525288581848
5000,5000,0.7720113738688252,0.45655367431250643,0.5737826090244361,0.7953999999999611,0.5057999999999941,0.4757695791883351,3086,1343,60.7727689743042
6000,6000,0.755411126378312,0.44677021668558736,0.5614713529967055,0.7786666666666264,0.4974999999999963,0.4612195375056344,3656,1588,57.50399994850159
7000,7000,0.7722547423692147,0.4290232381978248,0.5516046005079966,0.7938571428571302,0.4810000000000091,0.4583181164800719,4364,1766,63.880573987960815
8000,8000,0.7826020020863886,0.4220691570798005,0.548385615171847,0.804875000000033,0.47399999999998177,0.4594733437280951,5043,1982,63.68599510192871
9000,9000,0.7866667847061082,0.42086571580654697,0.5483596993141159,0.8095555555554834,0.47255555555556883,0.4627544617033475,5707,2252,86.04930782318115
10000,10000,0.7871694962525133,0.4125856184613473,0.541401840195878,0.8099999999999404,0.4648999999999862,0.4612895535940428,6352,2478,86.10036182403564
11000,11000,0.7756331166305349,0.41530323184760437,0.5409574415565063,0.7998181818182771,0.46790909090907834,0.4577243148786311,6929,2774,115.10558199882507
12000,12000,0.7784452374025391,0.40204582843099856,0.5302380838243489,0.8011666666666055,0.4547499999999823,0.45085534078621126,7649,2959,81.59067702293396
13000,13000,0.78176347079283,0.391486976546049,0.5217133617958581,0.8038461538462158,0.44600000000001655,0.44665827089642857,8309,3105,92.04099082946777
14000,14000,0.7799545649369791,0.3939029758889742,0.5234475453822014,0.8014285714286599,0.44785714285714096,0.4482409339836923,8984,3453,110.38901400566101
15000,15000,0.7840653909113899,0.3961865308548436,0.5263895638884738,0.8049999999999409,0.44899999999998647,0.45349709629807117,9687,3744,95.64916586875916
15291,15291,0.7863109970743555,0.39744111762925044,0.5280029790014789,0.8070760578117878,0.45019946373680964,0.45671554343626064,9884,3825,26.13766884803772
15292,15292,0.786281375202544,0.39748052116589516,0.5280310707032089,0.8070232801466164,0.45023541721162985,0.4567227335437134,9884,3825,0.07620406150817871
15293,15293,0.786295350133872,0.3975199195493931,0.5280689856465656,0.807035898777047,0.450271365984445,0.4567582581148621,9884,3825,0.08638119697570801
